time,posx,posy,posz,vx,vy,vz,ax,ay,az
9.75,-294.0595717,-2213.249502,0.662779372,41.29402924,0.041332733,0.322610915,1.049577355,6.550377846,0.585928917
9.8,-293.5196847,-2215.243567,0.70461456,41.34743118,0.04181705,0.326134712,1.057193637,6.53859663,0.639049053
9.85,-292.9633106,-2217.235868,0.746961311,41.40114594,0.040765416,0.321437985,1.063651323,6.501815796,0.471763343
9.9,-292.3904052,-2219.226238,0.789716296,41.45438766,0.043346051,0.323593616,1.054407239,6.565365791,0.571464121
9.95,-291.8009575,-2221.214556,0.832985832,41.50811005,0.043870572,0.326236814,1.063544989,6.553328514,0.598766744
10,-291.1950189,-2223.20072,0.876515609,41.56198883,0.043422293,0.322111189,1.066724539,6.536813736,0.459958762
10.05,-290.5725177,-2225.184556,0.920255537,41.61568069,0.046173465,0.324739784,1.063124418,6.595693111,0.561347306
10.1,-289.9334579,-2227.165953,0.964248384,41.6697464,0.046815455,0.326229841,1.070039988,6.587430477,0.557442486
10.15,-289.277859,-2229.144792,1.00826601,41.72403717,0.04697188,0.323051184,1.074705958,6.580453873,0.453333348
10.2,-288.6056611,-2231.120909,1.052273197,41.7782135,0.04981266,0.325721979,1.072306275,6.63688755,0.545851648
10.25,-287.9168638,-2233.094189,1.096275974,41.83285141,0.050522711,0.326373369,1.081142545,6.625874043,0.518810868
10.3,-287.2114781,-2235.064511,1.140056104,41.88765717,0.051297031,0.324027508,1.08450973,6.632512093,0.446215928
10.35,-286.4894467,-2237.03171,1.183603454,41.94251251,0.054157704,0.326649249,1.085378885,6.681558132,0.525553167
10.4,-285.7507785,-2238.995678,1.226872879,41.9978447,0.054991342,0.326507211,1.094446182,6.671879292,0.479797691
10.45,-284.9954659,-2240.956281,1.269678467,42.05332565,0.056444876,0.32516098,1.097488165,6.690266132,0.439668238
10.5,-284.2234666,-2242.913365,1.312010401,42.10905457,0.059044719,0.327344865,1.102206945,6.725869656,0.494492352
10.55,-283.4347875,-2244.866819,1.353786849,42.16516113,0.060298301,0.326958418,1.109335542,6.726887703,0.447606742
10.6,-282.6294132,-2246.816504,1.394856585,42.22151566,0.062145066,0.326291174,1.114292383,6.747114182,0.424101025
10.65,-281.8073145,-2248.762274,1.435193003,42.27824783,0.064651549,0.327975214,1.121462107,6.776698589,0.457417548
10.7,-280.9684943,-2250.704012,1.474696818,42.33532715,0.066272028,0.327576607,1.128144383,6.784724712,0.414735407
10.75,-280.104294,-2252.660934,1.513622282,42.39334488,0.068380639,0.327304572,1.13530767,6.805553913,0.398727149
10.8,-279.2406151,-2254.574836,1.550779411,42.45063019,0.070767649,0.328494221,1.143345833,6.830916405,0.414133757
10.85,-278.3515333,-2256.503658,1.587207172,42.50886917,0.072738066,0.328280598,1.150590658,6.846121788,0.379603267
10.9,-277.4456733,-2258.427907,1.622410367,42.56755829,0.074928105,0.328164667,1.159374237,6.865138054,0.362513214
10.95,-276.5137098,-2260.366619,1.656654469,42.62728119,0.07745342,0.329042494,1.167950273,6.891924858,0.365887642
11,-275.5835701,-2262.262151,1.688841983,42.68628693,0.079663128,0.328956902,1.177057147,6.910444736,0.335863203
11.05,-274.6273071,-2264.171881,1.719859429,42.74634933,0.082115345,0.328890443,1.186040282,6.932199478,0.315714419
11.1,-273.65422,-2266.0765,1.74929328,42.80693817,0.084696218,0.329500347,1.196301222,6.956092358,0.310187578
11.15,-272.6643021,-2267.97588,1.777046037,42.86804962,0.087058358,0.32953018,1.206497908,6.976075649,0.282513648
11.2,-271.6575427,-2269.869883,1.803005789,42.92972183,0.089534871,0.329436451,1.217383862,6.998296738,0.25784871
11.25,-270.6339306,-2271.758374,1.827084636,42.99195099,0.092169471,0.329877526,1.228279233,7.023766994,0.245440736
11.3,-269.5934593,-2273.64122,1.849182333,43.05476379,0.0946998,0.329954356,1.239694357,7.04675293,0.217551112
11.35,-268.5361184,-2275.518284,1.869188027,43.11817551,0.097291067,0.329873204,1.251415133,7.069466591,0.188922182
11.4,-267.4618999,-2277.38943,1.887007149,43.18221664,0.100026548,0.330170393,1.263745308,7.096003532,0.169383436
11.45,-266.3707981,-2279.254524,1.902537501,43.24690628,0.102595806,0.330206454,1.276452184,7.118833542,0.138606593
